trial,learning_rate,batch_size,num_epochs,weight_decay,dev_f1,dev_accuracy,dev_precision,dev_recall
1,1e-05,8,4,0.01,0.9393548387096774,0.9391979301423027,0.9503916449086162,0.9285714285714286
2,1e-05,8,4,0.01,0.9370988446726572,0.9366106080206986,0.9431524547803618,0.9311224489795918
3,1e-05,8,4,0.01,0.9357326478149101,0.9353169469598965,0.9430051813471503,0.9285714285714286
4,1e-05,8,4,0.01,0.9357326478149101,0.9353169469598965,0.9430051813471503,0.9285714285714286
5,1e-05,8,4,0.01,0.9370988446726572,0.9366106080206986,0.9431524547803618,0.9311224489795918
6,1e-05,8,4,0.01,0.9357326478149101,0.9353169469598965,0.9430051813471503,0.9285714285714286
7,1e-05,8,4,0.01,0.9370988446726572,0.9366106080206986,0.9431524547803618,0.9311224489795918
8,1e-05,8,4,0.01,0.9357326478149101,0.9353169469598965,0.9430051813471503,0.9285714285714286
9,1e-05,8,4,0.01,0.9357326478149101,0.9353169469598965,0.9430051813471503,0.9285714285714286
10,1e-05,8,4,0.01,0.9370988446726572,0.9366106080206986,0.9431524547803618,0.9311224489795918
