model,precision,recall,f1,accuracy,pr_auc,roc_auc
naive_bayes,0.9059139784946236,0.9059139784946236,0.9059139784946236,0.9095607235142119,0.971003628152774,0.9629640774621516
tf_idf_test,0.9723756906077348,0.946236559139785,0.9591280653950953,0.9612403100775194,0.9896560410013298,0.9889764885251164
tf_idf_dev,0.9713541666666666,0.951530612244898,0.961340206185567,0.9611901681759379,0.9904214324733728,0.986869944828325
tf_idf_test,0.8835978835978836,0.8978494623655914,0.8906666666666667,0.8940568475452196,0.9665969532631066,0.9635090675653988
tf_idf_dev,0.9145077720207254,0.9005102040816326,0.9074550128534704,0.906856403622251,0.9696341341694901,0.9630805077936686
linear_dev,0.940379403794038,0.8852040816326531,0.911957950065703,0.9133247089262613,0.9683306942714046,0.9591133697573517
linear_test,0.9088397790055248,0.8844086021505376,0.896457765667575,0.9018087855297158,0.9687561291525693,0.9637063339217888
linear_dev,0.9378378378378378,0.8852040816326531,0.910761154855643,0.9120310478654593,0.9687307968504142,0.9594012801971182
linear_test,0.9065934065934066,0.8870967741935484,0.8967391304347826,0.9018087855297158,0.9684195358367508,0.9631446263307121
linear_dev,0.9378378378378378,0.8852040816326531,0.910761154855643,0.9120310478654593,0.9687367007861651,0.9595418876211902
linear_test,0.9065934065934066,0.8870967741935484,0.8967391304347826,0.9018087855297158,0.9687090261347229,0.9635324720483603
naive_bayes,0.9056603773584906,0.9032258064516129,0.9044414535666218,0.9082687338501292,0.9703867093180014,0.962235194992778
